Nome,Ano de entrada em operação,Tensão (kV),Agente,OBJECTID,Longitude,Latitude,x,y
SE Venâncio Aires,-,230/69,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,447,-52.15664226,-29.63398869,-52.15664225799998,-29.633988690999956
SE Venda das Pedras,2010,345/138,PEDRAS TRA - PEDRAS TRANSMISSORA DE ENERGIA LTDA,448,-42.79445705,-22.73463091,-42.79445704999995,-22.734630912999933
SE Veracel,-,230,-,449,-39.40819349,-16.08632792,-39.40819349199995,-16.086327921999953
SE Vespasiano 2,2003,500/138,CEMIG - Companhia Energética de Minas Gerais,450,-43.90759471,-19.73903474,-43.90759470599994,-19.739034740999955
SE Viamão 3,2016,230/69,TESB - TRANSMISSORA DE ENERGIA SUL BRASIL,451,-51.06407059,-30.036706,-51.06407059099996,-30.036705995999966
SE Viana,2005,345/138,FURNAS - Furnas Centrais Elétricas S.A.,452,-40.43701905,-20.36991068,-40.43701905499995,-20.36991067899993
SE Viana 2,2014,500/345,MGE TRA - MGE TRANSMISSO SA,453,-40.50755044,-20.38234434,-40.50755043899994,-20.382344339999975
SE Videira,2009,230/138,ATE VI - ATE VI - Campos Novos Transmissora de Energia S.A.,454,-51.09230556,-26.9989558,-51.092305556999975,-26.99895579599996
SE Vila do Conde,-,"500/230/69/13,8",ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,455,-48.73247051,-1.57258593,-48.73247050899994,-1.5725859319999245
SE Vilhena,2008,"230/69/34,5/22/13,8",ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,456,-60.26440797,-12.71680016,-60.26440797099997,-12.716800157999955
SE Volta Grande,1974,"345/13,8",CEMIG GT - CEMIG GERAÇÃO E TRANSMISSÃO S.A,457,-48.22422443,-20.03994731,-48.22422443399995,-20.03994731199998
SE Xanxerê,-,230/138,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,458,-52.39300997,-26.86328707,-52.39300997399994,-26.86328706599994
SE Xavantes,-,345,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,459,-46.72338911,-23.65808796,-46.723389105999956,-23.658087957999953
SE Xavantes,-,230/138,CELG - GT - CELG GERAÇÃO E TRANSMISSÃO S/A,460,-49.25972069,-16.58052918,-49.259720690999984,-16.580529179999928
SE Xingó,-,500/18,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,461,-37.79575208,-9.63297547,-37.79575208099993,-9.63297547299993
SE Xingu,2013,500/230,XINGU TRA - LINHAS DE XINGU TRANSMISSORA DE ENERGIA SA,462,-51.69324984,-3.1065665,-51.69324984299993,-3.1065664999999285
SE Osório 2,-,230/138/69,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,463,-50.31495,-29.89543333,-50.31494999999995,-29.89543333299997
SE Porto Alegre 13,-,"230/13,8",CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,464,-51.2243,-30.09555,-51.22429999999997,-30.095549999999946
SE Miltônia III (Paragominas),-,230,Vale,465,-47.73634679,-3.25047852,-47.736346794999974,-3.2504785249999486
SE Londrina,1984,230/138,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,466,-51.23796551,-23.27580654,-51.237965505999966,-23.275806539999962
SE Segredo,1992,500,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,467,-52.09640304,-25.78842718,-52.096403039999984,-25.78842717699996
